Head of State,Lifespan,Title,from,to,Eagle (coat of arms or emblem)
German Empire (1871–1918),German Empire (1871–1918),German Empire (1871–1918),German Empire (1871–1918),German Empire (1871–1918),German Empire (1871–1918)
Wilhelm I,1797–1888,"Deutscher Kaiser
(German Emperor)",18 January 1871,9 March 1888,
Frederick III,1831–1888,Deutscher Kaiser,9 March 1888,15 June 1888,
Wilhelm II,1859–1941,Deutscher Kaiser,15 June 1888,18 November 1918,
Weimar Republic (1919–1933),Weimar Republic (1919–1933),Weimar Republic (1919–1933),Weimar Republic (1919–1933),Weimar Republic (1919–1933),Weimar Republic (1919–1933)
Friedrich Ebert,1871–1925,"Reichspräsident
(President of the Reich)",11 February 1919,28 February 1925,
Paul von Hindenburg,1847–1934,Reichspräsident,12 May 1925,2 August 1934,
Nazi Germany (1933–1945),Nazi Germany (1933–1945),Nazi Germany (1933–1945),Nazi Germany (1933–1945),Nazi Germany (1933–1945),Nazi Germany (1933–1945)
Adolf Hitler,1889–1945,"Führer und Reichskanzler
(Führer and Chancellor of the Reich)",2 August 1934,30 April 1945,
Karl Dönitz,1891–1980,Reichspräsident,30 April 1945,23 May 1945,
