State (German name),State (German name),Capital
,Anhalt,Dessau
,Baden,Karlsruhe
,Bavaria (Bayern),Munich
,Brunswick (Braunschweig),Braunschweig
,Hesse (Hessen / Hessen-Darmstadt),Darmstadt
,Lippe,Detmold
,Mecklenburg-Schwerin,Schwerin
,Mecklenburg-Strelitz,Neustrelitz
,Oldenburg,Oldenburg
,Prussia (Preußen),Berlin
,Saxe-Coburg (Sachsen-Coburg) – to Bavaria in 1920,Coburg
,Saxony (Sachsen),Dresden
,Schaumburg-Lippe,Bückeburg
,Thuringia (Thüringen) – from 1920,Weimar
,Waldeck-Pyrmont – to Prussia in 1921/1929,Arolsen
,Württemberg,Stuttgart
City-states,City-states,City-states
,Bremen,Bremen
,Hamburg,Hamburg
,Lübeck,Lübeck
States merged to form Thuringia in 1920,States merged to form Thuringia in 1920,States merged to form Thuringia in 1920
,Reuss,Gera
,Saxe-Altenburg (Sachsen-Altenburg),Altenburg
,Saxe-Gotha (Sachsen-Gotha),Gotha
,Saxe-Meiningen (Sachsen-Meiningen),Meiningen
,Saxe-Weimar-Eisenach (Sachsen-Weimar-Eisenach),Weimar
,Schwarzburg-Rudolstadt,Rudolstadt
,Schwarzburg-Sondershausen,Sondershausen
