Title (English),Title (German),Territory (English),Territory (German)
Emperor/Empress,Kaiser(in),Empire,"Kaiserreich, Kaisertum"
King/Queen,König(in),Kingdom,Königreich
Prince-elector/Electress,Kurfürst(in),Electorate,Kurfürstentum
Archduke/Archduchess,Erzherzog(in),Archduchy,Erzherzogtum
Grand Duke/Grand Duchess,Großherzog(in),Grand Duchy,Großherzogtum
Duke/Duchess,Herzog(in),Duchy,Herzogtum
Count(ess) Palatine,Pfalzgraf/Pfalzgräfin,County Palatine,Pfalzgrafschaft
Margrave/Margravine,Markgraf/Markgräfin,"Margraviate, March",Markgrafschaft
Landgrave/Landgravine,Landgraf/Landgräfin,Landgraviate,Landgrafschaft
Prince(ss),Fürst(in),Principality,Fürstentum
Count(ess) of the Empire,Reichsgraf*/Reichsgräfin,County,Grafschaft
Burgrave/Burgravine,Burggraf/Burggräfin,Burgraviate,Burggrafschaft
Altgrave/Altgravine,Altgraf/Altgräfin,Altgraviate,Altgrafschaft
Baron(ess),Freiherr/Freifrau/Freiin*,(Allodial) Barony,Freiherrschaft
Lord,Herr,Lordship,Herrschaft
Imperial Knight,Reichsritter*,,
