,Rank,Name,Prefecture,Pop.,Rank,Name,Prefecture,Pop.,
"Tokyo
Yokohama",1,Tokyo,Tokyo,"8,949,447",11,Hiroshima,Hiroshima,"1,174,209","Osaka
Nagoya"
"Tokyo
Yokohama",2,Yokohama,Kanagawa,"3,689,603",12,Sendai,Miyagi,"1,045,903","Osaka
Nagoya"
"Tokyo
Yokohama",3,Osaka,Osaka,"2,666,371",13,Kitakyushu,Fukuoka,"977,288","Osaka
Nagoya"
"Tokyo
Yokohama",4,Nagoya,Aichi,"2,263,907",14,Chiba,Chiba,"962,130","Osaka
Nagoya"
"Tokyo
Yokohama",5,Sapporo,Hokkaidō,"1,914,434",15,Sakai,Osaka,"842,134","Osaka
Nagoya"
"Tokyo
Yokohama",6,Kobe,Hyōgo,"1,544,873",16,Niigata,Niigata,"812,192","Osaka
Nagoya"
"Tokyo
Yokohama",7,Kyoto,Kyōto,"1,474,473",17,Hamamatsu,Shizuoka,"800,912","Osaka
Nagoya"
"Tokyo
Yokohama",8,Fukuoka,Fukuoka,"1,463,826",18,Kumamoto,Kumamoto,"734,294","Osaka
Nagoya"
"Tokyo
Yokohama",9,Kawasaki,Kanagawa,"1,425,678",19,Sagamihara,Kanagawa,"717,561","Osaka
Nagoya"
"Tokyo
Yokohama",10,Saitama,Saitama,"1,222,910",20,Shizuoka,Shizuoka,"716,328","Osaka
Nagoya"
"Tokyo
Yokohama",,,,,,,,,"Osaka
Nagoya"
