Number,Japanese kunyomi readings,Japanese onyomi readings,Transliterations from English readings
0,"maru, ma, wa","rei, re","o, zero, ze"
1,"hitotsu, hito, hi","ichi, i",wan
2,"futatsu, fu, futa","ni, ji","tsu, tsū, tū"
3,"mitsu, mi","san, sa, za","su, surī"
4,"yon, yo, yotsu",shi,"fō, ho"
5,"itsutsu, itsu, i","go, ko","faibu, faivu"
6,"mutsu, mu","roku, ro",shikkusu
7,"nana, nanatsu, na",shichi,"sebun, sevun"
8,"yatsu, ya","hachi, ha, ba",eito
9,"kokonotsu, ko","kyu, ku",nain
10,"tō, to","ju, ji",ten
