Date,Opponent,Result,Score*,Venue,Competition
6 Feb 2013,Latvia,W,3–0,"Home's Stadium Kobe, Kobe, Japan",International Friendly (Kirin Challenge Cup 2013)
22 Mar 2013,Canada,W,2–1,"Khalifa International Stadium, Doha, Qatar",International Friendly
26 Mar 2013,Jordan,L,1–2,"King Abdullah Stadium, Amman, Jordan",2014 FIFA World Cup qualification (AFC) Fourth Round
30 May 2013,Bulgaria,L,0–2,"Toyota Stadium, Toyota, Aichi, Japan",International Friendly (Kirin Challenge Cup 2013)
4 Jun 2013,Australia,D,1–1,"Saitama Stadium 2002, Saitama, Japan",2014 FIFA World Cup qualification (AFC) Fourth Round
11 Jun 2013,Iraq,W,1–0,"Grand Hamad Stadium, Doha, Qatar",2014 FIFA World Cup qualification (AFC) Fourth Round
15 Jun 2013,Brazil,L,0–3,"Estádio Nacional de Brasília, Brasília, Brazil",2013 FIFA Confederations Cup
19 Jun 2013,Italy,L,3–4,"Arena Cidade da Copa, Recife, Brazil",2013 FIFA Confederations Cup
22 Jun 2013,Mexico,L,1–2,"Mineirão, Belo Horizonte, Brazil",2013 FIFA Confederations Cup
21 Jul 2013,China PR,D,3–3,"Seoul World Cup Stadium, Seoul, South Korea",2013 EAFF East Asian Cup
25 Jul 2013,Australia,W,3–2,"Hwaseong Stadium, Hwaseong, South Korea",2013 EAFF East Asian Cup
28 Jul 2013,South Korea,W,2–1,"Jamsil Olympic Stadium, Seoul, South Korea",2013 EAFF East Asian Cup
14 Aug 2013,Uruguay,L,2–4,"Miyagi Stadium, Rifu, Miyagi, Japan",International Friendly (Kirin Challenge Cup 2013)
6 Sep 2013,Guatemala,W,3–0,"Nagai Stadium, Osaka, Japan",International Friendly (Kirin Challenge Cup 2013)
10 Sep 2013,Ghana,W,3–1,"International Stadium Yokohama, Kanagawa, Japan",International Friendly (Kirin Challenge Cup 2013)
11 Oct 2013,Serbia,L,0–2,"Karađorđe Stadium, Novi Sad, Serbia",International Friendly
15 Oct 2013,Belarus,L,0–1,"Torpedo Stadium, Zhodino, Belarus",International Friendly
16 Nov 2013,Netherlands,D,2–2,"Cristal Arena, Genk, Belgium",International Friendly
19 Nov 2013,Belgium,W,3–2,"King Baudouin Stadium, Brussels, Belgium",International Friendly
5 Mar 2014,New Zealand,W,4–2,"National Olympic Stadium, Tokyo, Japan",International Friendly (Kirin Challenge Cup 2014)
27 May 2014,Cyprus,,,"Saitama Stadium 2002, Saitama, Japan",International Friendly (Kirin Challenge Cup 2014)
2 June 2014,Costa Rica,,,"Florida, United States",International Friendly
14 June 2014,Ivory Coast,,,"Arena Pernambuco, Recife, Brazil",2014 FIFA World Cup
19 June 2014,Greece,,,"Arena das Dunas, Natal, Brazil",2014 FIFA World Cup
24 June 2014,Colombia,,,"Arena Pantanal, Cuiabá, Brazil",2014 FIFA World Cup
5 September 2014,TBA,,,"Sapporo Dome, Sapporo, Hokkaido, Japan",International Friendly (Kirin Challenge Cup 2014)
9 September 2014,TBA,,,"Nissan Stadium, Yokohama, Kanagawa, Japan",International Friendly (Kirin Challenge Cup 2014)
14 November 2014,TBA,,,"Toyota Stadium, Toyota, Aichi, Japan",International Friendly (Kirin Challenge Cup 2014)
18 November 2014,TBA,,,"Nagai Stadium, Osaka, Japan",International Friendly (Kirin Challenge Cup 2014)
Jan 2015,TBA,,,TBD,2015 AFC Asian Cup
Jan 2015,TBA,,,TBD,2015 AFC Asian Cup
