State or District,Population,Non-Hispanic White,Hispanic/Latino,Black,American Indian or Alaskan Native,Asian,Native Hawaiian or Pacific Islander,Mixed race
Alabama,"4,822,023",67.0,3.9,26.2,0.6,1.1,0,1.5
Alaska,"731,449",64.1,5.5,3.3,14.8,5.4,1.0,7.3
Arizona,"6,553,255",57.8,29.6,4.1,4.6,2.8,0.2,3.4
Arkansas,"2,949,131",74.5,6.4,15.4,0.8,1.2,0.2,2.0
California,"38,041,430",40.1,37.6,6.2,1.0,13.0,0.4,4.9
Colorado,"5,187,582",70.0,20.7,4.0,1.1,2.8,0.1,3.4
Connecticut,"3,590,347",71.2,13.4,10.1,0.3,3.8,0,2.6
Delaware,"917,092",65.3,8.2,21.4,0.5,3.2,0,2.7
District of Columbia,"632,323",35.5,9.9,50.1,0.6,3.8,0.2,2.5
Florida,"19,317,568",57.9,22.5,16.0,0.4,2.4,0.1,2.5
Georgia,"9,919,945",55.9,8.8,30.5,0.3,3.2,0.1,2.1
Hawaii,"1,392,313",22.7,8.9,1.6,0.3,38.6,10.0,23.6
Idaho,"1,595,728",84.0,11.2,0.6,1.4,1.2,0.1,2.5
Illinois,"12,875,255",63.7,15.8,14.5,0.3,4.6,0,2.3
Indiana,"6,537,334",81.5,6.0,9.1,0.3,1.6,0,2.0
Iowa,"3,074,186",88.7,5.0,2.9,0.4,1.7,0.1,1.8
Kansas,"2,885,905",78.2,10.5,5.9,1.0,2.4,0.1,3.0
Kentucky,"4,380,415",86.3,3.1,7.8,0.2,1.1,0.1,1.7
Louisiana,"4,601,893",60.3,4.2,32.0,0.7,1.5,0,1.6
Maine,"1,329,192",94.4,1.3,1.2,0.6,1.0,0,1.6
Maryland,"5,884,563",54.7,8.2,29.4,0.4,5.5,0.1,2.9
Massachusetts,"6,646,144",76.1,9.6,6.6,0.3,5.3,0.0,2.6
Michigan,"9,883,360",76.6,4.4,14.2,0.6,2.4,0,2.3
Minnesota,"5,379,139",83.1,4.7,5.2,1.1,4.0,0,2.4
Mississippi,"2,984,926",58.0,2.7,37.0,0.5,0.9,0,1.1
Missouri,"6,021,988",81.0,3.5,11.6,0.5,1.6,0.1,2.1
Montana,"1,005,141",87.8,2.9,0.4,6.3,0.6,0.1,2.5
Nebraska,"1,855,525",82.1,9.2,4.5,1.0,1.8,0.1,2.2
Nevada,"2,758,931",54.1,26.5,8.1,1.2,7.2,0.2,4.7
New Hampshire,"1,320,718",92.3,2.8,1.1,0.2,2.2,0,1.6
New Jersey,"8,864,590",59.3,17.7,13.7,0.3,8.3,0,2.7
New Mexico,"2,085,538",40.5,46.3,2.1,9.4,1.4,0.1,3.7
New York,"19,570,261",58.3,17.6,15.9,0.6,7.3,0,3.0
North Carolina,"9,656,401",65.3,8.4,21.5,1.3,2.2,0.1,2.2
North Dakota,"699,628",88.9,2.0,1.2,5.4,1.0,0,1.8
Ohio,"11,544,225",81.1,3.1,12.2,0.2,1.7,0,2.1
Oklahoma,"3,814,820",68.7,8.9,7.4,8.6,1.7,0.1,5.9
Oregon,"3,899,353",78.5,11.7,1.8,1.4,3.7,0.3,3.8
Pennsylvania,"12,763,536",79.5,5.7,10.8,0.2,2.7,0,1.9
Rhode Island,"1,050,292",76.4,12.4,5.7,0.6,2.9,0.1,3.3
South Carolina,"4,723,723",64.1,5.1,27.9,0.4,1.3,0.1,1.7
South Dakota,"833,354",84.7,2.7,1.3,8.8,0.9,0,2.1
Tennessee,"6,456,243",75.6,4.6,16.7,0.3,1.4,0.1,1.7
Texas,"26,059,203",45.3,37.6,11.8,0.7,3.8,0.1,2.7
Utah,"2,855,287",80.4,13.0,1.1,1.2,2.0,0.9,2.7
Vermont,"626,011",94.3,1.5,1.0,0.4,1.3,0,1.7
Virginia,"8,185,867",64.8,7.9,19.4,0.4,5.5,0.1,2.9
Washington,"6,897,012",72.5,11.2,3.6,1.5,7.2,0.6,4.7
West Virginia,"1,855,413",93.2,1.2,3.4,0.2,0.7,0,1.5
Wisconsin,"5,726,386",83.3,5.9,6.3,1.0,2.3,0,1.8
Wyoming,"576,412",85.9,8.9,0.8,2.4,0.8,0.1,2.2
